"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"lessive";-4,332;3,775;-1,417;-0,48;-0,233;7,544
"inversement";-4,332;-0,183;-1,417;0,358;-0,233;4,864
"inutilement";-1,83;-0,17;-0,035;0,01;-0,216;1,97
"intégrité";-4,332;-0,183;-1,417;1,548;-0,233;2,771
"intonation";29,909;-0,183;-1,417;-3,938;-0,233;-4,505
"intelligemment";-4,332;-0,183;-1,417;1,548;-0,233;2,771
"instinct";-4,332;-0,183;-1,417;-1,792;515,086;-4,505
"installation";-2,109;-0,183;-0,07;26,204;-0,233;-7,094
"indéniable";-4,332;-0,183;6,306;-0,002;-0,233;0,339
"indifférence";-4,332;-0,183;6,306;-3,938;-0,233;4,864
"importé";-4,332;-0,183;-1,417;41,094;-0,233;-7,094
"impatience";10,354;-0,17;-1,315;-3,657;-0,216;-0,079
"imbécile";-4,332;-0,183;-0,07;-1,792;-0,233;10,808
"iels";-3,713;-0,157;15,174;-1,299;3,346;-0,002
"hétéro";-3,713;-0,157;-1,214;-3,375;-0,2;16,365
"homophobe";-4,332;-0,183;-1,417;-3,938;-0,233;19,093
"hezbollah";-4,023;-0,17;107,665;-3,657;-0,216;-6,383
"handicapé";-4,023;-0,17;-1,315;-0,327;-0,216;9,534
"grec";23,423;-0,183;-1,417;-1,792;-0,233;-4,505
"gravement";-4,332;-0,183;6,306;-1,792;-0,233;2,771
"grandeur";-2,109;-0,183;-1,417;14,649;-0,233;-1,083
"grand_papa";23,423;-0,183;-1,417;-1,792;-0,233;-4,505
"grammaire";-2,109;-0,183;-1,417;-3,938;-0,233;14,658
"grace";-0,677;-0,183;-1,417;1,548;-0,233;0,339
"genial";37,187;-0,183;-1,417;-3,938;-0,233;-7,094
"gen";-4,332;-0,183;-0,07;-1,792;-0,233;10,808
"gauchisme";-4,023;-0,17;0,598;4,446;-0,216;-0,079
"garage";-4,023;-0,17;-1,315;29,803;-0,216;-3,862
"game";33,984;-0,17;-1,315;-3,657;-0,216;-6,383
"gag";12,826;-0,183;-1,417;-0,002;-0,233;-4,505
"fuck";-0,002;-0,17;-1,315;7,721;2,964;-3,862
"frouze";-0,677;-0,183;-1,417;-1,792;-0,233;7,544
"frotter";-2,109;190,286;-0,07;1,548;-0,233;-7,094
"foutage";-4,332;-0,183;0,436;1,548;-0,233;0,339
"foie";-2,109;-0,183;-1,417;20,009;-0,233;-2,501
"fibre";-4,332;-0,183;-1,417;41,094;-0,233;-7,094
"fermé";-2,109;-0,183;-1,417;-0,48;-0,233;7,544
"favori";0,19;-0,183;-0,07;0,358;-0,233;-0,249
"favorable";-4,332;-0,183;2,515;0,358;-0,233;0,339
"fainéant";-4,332;-0,183;-1,417;1,548;-0,233;2,771
"essai";-4,023;-0,17;-1,315;4,446;-0,216;0,709
"envoi";-0,49;-0,17;-1,315;4,446;-0,216;-0,079
"env";-4,332;-0,183;0,436;14,649;-0,233;-2,501
"entreprendre";-2,109;-0,183;-0,07;26,204;-0,233;-7,094
"entendeur";-0,677;-0,183;-1,417;-3,938;-0,233;10,808
"emji_visage_qui_tire_la_langue";0,626;-0,157;-1,214;0,065;3,346;-0,396
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";-3,404;-0,144;-1,113;-0,091;-0,183;7,036
"emji_papillon";30,787;-0,157;-1,214;-3,375;-0,2;-5,676
"emji_mains_levées_peau_légèrement_mate";12,826;-0,183;-1,417;-0,002;-0,233;-4,505
"emji_langue";16,161;-0,065;-0,506;-1,406;-0,083;-3,667
"emji_jeune_pousse";2,164;-0,157;-1,214;-0,196;16,851;-1,473
"emji_homme_qui_hausse_les_épaules_peau_moyennement_claire";-3,094;-0,131;-1,012;4,593;-0,166;0,242
"emji_croix_latine";8,01;-0,157;3,597;-3,375;-0,2;-3,233
"emji_chat";29,091;-0,117;-0,911;-2,531;-0,15;-6,601
"emji_arc_en_ciel";23,423;-0,183;-0,07;-3,938;-0,233;-4,505
"embauche";-4,332;-0,183;-1,417;-0,48;-0,233;10,808
"dérégler";-4,332;-0,183;-1,417;10,123;2,639;-0,249
"démuni";-4,332;-0,183;-0,07;20,009;-0,233;-2,501
"démissionner";-4,332;-0,183;19,025;-3,938;-0,233;1,262
"découper";-4,023;-0,17;-1,315;29,803;-0,216;-3,862
"décor";-0,038;3,775;-1,417;3,573;2,639;-2,501
"débordement";-4,332;-0,183;6,306;-0,48;-0,233;1,262
"débilité";-4,332;-0,183;-1,417;-1,792;-0,233;14,658
"durcir";-4,332;-0,183;-0,07;1,548;-0,233;1,262
"dominant";-4,332;-0,183;2,515;-0,48;-0,233;2,771
"dixit";-0,038;-0,183;-1,417;-0,002;-0,233;1,262
"dispositif";-4,023;-0,17;0,598;16,966;-0,216;-3,862
"disparu";-2,109;-0,183;-0,07;-0,48;2,639;2,771
"diplomatique";-4,332;-0,183;19,025;10,123;-0,233;-10,269
"diffusion";-2,109;-0,183;-0,07;0,358;-0,233;1,262
"diction";3,655;-0,17;-1,315;-3,657;-0,216;0,709
"dico";-0,677;-0,183;-1,417;-3,938;-0,233;10,808
"dead";8,715;-0,183;-0,07;-0,002;-0,233;-4,505
"câble";-0,677;-0,183;-1,417;-0,002;2,639;1,262
"cure";1,133;-0,183;-1,417;-1,792;-0,233;1,262
"cst";-3,713;-0,157;23,959;0,065;-0,2;-1,473
"courrier";-0,49;4,194;-1,315;7,721;-0,216;-1,97
"contribution";-4,332;-0,183;-1,417;26,204;-0,233;-2,501
"contrer";-2,109;-0,183;0,436;-0,002;2,639;0,339
"contemporain";0,19;-0,183;-0,07;-1,792;-0,233;1,262
"complot";-4,332;-0,183;2,515;-3,938;-0,233;7,544
"colombie";1,133;-0,183;0,436;0,358;-0,233;-2,501
"cm";3,655;-0,17;-1,315;-0,327;15,274;-1,97
"clique";-2,109;-0,183;-1,417;14,649;-0,233;-1,083
"châtiment";-3,713;-0,157;-1,214;-3,375;-0,2;16,365
"chorale";42,023;-0,17;-1,315;-3,657;-0,216;-9,535
"chiant";1,133;-0,183;0,436;-1,792;-0,233;0,002
"chevignon";37,187;-0,183;-1,417;-3,938;-0,233;-7,094
"chelou";0,19;-0,183;-1,417;-0,002;-0,233;0,339
"charbon";-4,332;-0,183;-1,417;41,094;-0,233;-7,094
"cfc";-4,023;-0,17;-1,315;46,233;-0,216;-9,535
"ceo";-1,83;-0,17;-1,315;37,569;-0,216;-9,535
"cata";-0,002;-0,17;-1,315;4,446;-0,216;-0,709
"canapé";-0,677;3,775;2,515;-3,938;-0,233;1,262
"camping";17,728;-0,183;-1,417;-0,002;-0,233;-7,094
"cambrioler";-4,023;-0,17;-1,315;0,59;-0,216;3,861
"cabane";0,19;-0,183;-1,417;10,123;-0,233;-4,505
"bruxelles";-2,109;-0,183;-0,07;14,649;-0,233;-2,501
"bourreau";-4,023;-0,17;71,498;-1,543;2,964;-6,383
"bns";-2,109;-0,183;0,436;26,204;-0,233;-10,269
"bistrot";-0,677;-0,183;-1,417;-1,792;-0,233;7,544
"berger";1,585;-0,17;-1,315;-0,327;-0,216;0,079
"bec";1,133;-0,183;-1,417;0,358;13,925;-2,501
"bavure";-3,713;-0,157;8,386;-3,375;-0,2;2,917
"banquier";-2,109;-0,183;-1,417;33,232;-0,233;-7,094
"banc";-0,677;-0,183;-0,07;-0,48;-0,233;2,771
"balade";-0,677;-0,183;-0,07;-0,48;-0,233;2,771
"avertir";-2,109;-0,183;-1,417;10,123;2,639;-1,083
"autriche";-4,332;-0,183;-0,07;26,204;-0,233;-4,505
"australie";-4,332;-0,183;-1,417;26,204;2,639;-4,505
"associé";-4,332;-0,183;-1,417;6,431;-0,233;0,339
"artistique";-2,109;-0,183;-1,417;14,649;-0,233;-1,083
"archi";-2,109;3,775;-1,417;-1,792;-0,233;7,544
"aquatique";0,157;-0,039;-0,304;3,502;-0,05;-2,2
"après_des";-4,332;-0,183;-1,417;20,009;-0,233;-1,083
"apologie";-4,332;-0,183;19,025;-1,792;-0,233;0,339
"apaiser";-4,023;-0,17;-1,315;-0,327;-0,216;9,534
"amplifier";-4,332;-0,183;6,306;-1,792;-0,233;2,771
"alsacien";45,256;-0,183;-1,417;-3,938;-0,233;-10,269
"aligner";-2,109;-0,183;2,515;-3,938;-0,233;4,864
"alarme";-4,332;-0,183;-1,417;33,232;-0,233;-4,505
"aire";0,367;4,194;-1,315;-0,327;-0,216;0,079
"affection";-0,677;-0,183;-0,07;-1,792;2,639;2,771
"adéquat";-4,332;-0,183;0,436;-0,002;-0,233;2,771
"admiration";8,715;-0,183;-1,417;-1,792;-0,233;-0,249
"7h";-0,322;-0,157;-0,011;5,512;-0,2;-1,473
"50m";-3,713;-0,157;-1,214;34,05;-0,2;-5,676
"évènement";-4,023;-0,17;0,598;0,01;-0,216;1,97
"équipement";-0,49;-0,17;-1,315;29,803;-0,216;-9,535
"épouser";14,983;-0,17;-1,315;-3,657;-0,216;-0,709
"élémentaire";-4,023;-0,17;-1,315;-3,657;-0,216;17,729
"yes";-3,713;-0,157;97,855;-1,299;-0,2;-8,802
"véridique";-1,83;-0,17;-0,035;-0,327;2,964;1,97
"violet";20,464;-0,17;-0,035;-0,327;-0,216;-9,535
"viable";-4,023;-0,17;-1,315;22,936;2,964;-3,862
"vecu";-0,49;-0,17;-1,315;-1,543;-0,216;6,382
"vainqueur";-0,782;-0,117;6,29;2,659;-0,15;-3,589
"vacciner";-3,404;-0,144;0;6,823;18,718;-2,624
"tricher";-1,83;4,194;-1,315;2,069;-0,216;0,079
"tpg";-4,023;-0,17;-1,315;37,569;-0,216;-6,383
"tournoi";-0,002;-0,17;-1,315;11,895;-0,216;-3,862
"telephone";2,164;-0,157;-1,214;-1,299;-0,2;0,291
"taré";-0,49;-0,17;-0,035;-3,657;-0,216;6,382
"tarte";20,464;-0,17;-1,315;-3,657;-0,216;-1,97
"sévir";-1,83;-0,17;21,295;0,01;-0,216;-1,97
"sécheresse";-4,023;-0,17;-1,315;46,233;-0,216;-9,535
"surnom";4,625;-0,157;-1,214;-3,375;-0,2;0,291
"surfer";2,164;-0,157;-0,011;0,908;-0,2;-3,233
"supposition";-4,023;-0,17;-1,315;-1,543;-0,216;13,317
"stéphane";20,642;-0,144;-1,113;-1,062;-0,183;-4,973
"stressant";-4,023;-0,17;-1,315;0,59;-0,216;3,861
"states";-3,713;-0,157;-1,214;0,908;-0,2;2,917
"spécialement";-1,83;-0,17;-1,315;7,721;-0,216;-0,079
"spray";-4,023;-0,17;128,515;-3,657;-0,216;-9,535
"sourd";-1,83;-0,17;-1,315;-3,657;-0,216;13,317
"soudanais";-4,023;-0,17;88,659;-1,543;-0,216;-6,383
"sonore";0,012;-0,157;-1,214;14,008;-0,2;-5,676
"songer";-1,83;4,194;7,258;0,01;-0,216;-0,709
"sionisme";-3,713;-0,157;79,08;-3,375;-0,2;-3,233
"singulier";-0,002;-0,17;-1,315;-1,543;-0,216;3,861
"serbe";-4,023;-0,17;128,515;-3,657;-0,216;-9,535
"sensibiliser";-1,556;-0,157;-1,214;0,065;-0,2;2,917
"sensation";-1,556;-0,157;-1,214;0,908;-0,2;1,263
"semblable";-0,002;-0,17;-1,315;-1,543;-0,216;3,861
"saturer";-4,023;4,194;-1,315;22,936;-0,216;-3,862
"saoudite";-4,023;-0,17;107,665;-1,543;-0,216;-9,535
"saleh";-4,023;-0,17;128,515;-3,657;-0,216;-9,535
"résider";-4,023;-0,17;-0,035;11,895;-0,216;-0,709
"répartir";-4,023;-0,17;-0,035;7,721;-0,216;-0,079
"roulant";-4,023;-0,17;-1,315;4,446;2,964;0,079
"roger";26,798;-0,17;-1,315;-3,657;-0,216;-3,862
"ridiculiser";-4,023;-0,17;-0,035;-1,543;-0,216;9,534
"ressort";-1,83;-0,17;0,598;-3,657;2,964;3,861
"reproduction";-4,023;-0,17;-1,315;2,069;15,274;0,079
"remarquable";-0,002;-0,17;-0,035;-3,657;-0,216;3,861
"relancer";-4,023;-0,17;-0,035;16,966;-0,216;-1,97
"rang";-0,322;-0,157;3,597;-1,299;-0,2;0,291
"quil";-3,713;-0,157;0,805;-0,196;-0,2;2,917
"quid";-4,023;-0,17;0,598;11,895;-0,216;-1,97
"psychiatrie";-1,556;-0,157;-1,214;-3,375;-0,2;11,979
"préparation";-3,713;-0,157;-1,214;0,065;-0,2;5,255
"progressiste";-4,023;-0,17;-0,035;-3,657;-0,216;13,317
"preneur";10,354;-0,17;-0,035;0,01;-0,216;-6,383
"poumon";-4,023;-0,17;-0,035;29,803;-0,216;-6,383
"poudre";-3,713;4,685;-0,011;14,008;-0,2;-3,233
"pokémon";-4,023;141,3;-1,315;7,721;-0,216;-6,383
"pionnier";2,164;-0,157;-0,011;2,723;-0,2;-5,676
"peter";-0,002;-0,17;-1,315;-0,327;-0,216;1,97
"persécuter";-1,83;-0,17;21,295;-3,657;-0,216;0,079
"persister";-4,023;4,194;3,006;-0,327;2,964;0,079
"perpétrer";-3,713;-0,157;97,855;-1,299;-0,2;-8,802
"percer";-0,49;-0,17;-1,315;-1,543;-0,216;6,382
"pension";-3,713;-0,157;-1,214;19,716;-0,2;-1,473
"parlementaire";-4,023;-0,17;0,598;22,936;-0,216;-6,383
"panini";42,023;-0,17;-1,315;-3,657;-0,216;-9,535
"paninari";26,798;-0,17;-1,315;-1,543;-0,216;-6,383
"pair";-4,023;-0,17;-1,315;-1,543;-0,216;13,317
"os";-1,83;-0,17;7,258;-0,327;-0,216;0,079
"ordure";-1,83;-0,17;-0,035;0,01;2,964;0,709
"optimiste";-1,83;-0,17;-1,315;-0,327;-0,216;6,382
"ooh";3,655;-0,17;-1,315;-3,657;-0,216;0,709
"off";3,655;-0,17;-1,315;0,59;-0,216;-1,97
"nid";-4,023;4,194;-1,315;11,895;-0,216;-0,709
"nice";1,585;-0,17;13,354;-1,543;-0,216;-3,862
"médiocrité";-4,023;-0,17;-0,035;-3,657;-0,216;13,317
"médiatiser";-4,023;-0,17;21,295;-3,657;-0,216;0,709
"moustachu";-4,023;-0,17;31,079;0,01;-0,216;-1,97
"mortalité";-4,023;-0,17;-1,315;11,895;37,147;-3,862
"mobilisation";-4,023;-0,17;42,708;0,59;-0,216;-6,383
"mensuel";-4,023;-0,17;-1,315;46,233;-0,216;-9,535
"matraque";-4,023;-0,17;3,006;-3,657;-0,216;6,382
"master";-3,713;-0,157;-1,214;9,274;-0,2;-0,002
"manche";-0,49;-0,17;-1,315;-3,657;-0,216;9,534
"maigre";-1,83;-0,17;-0,035;2,069;-0,216;0,079
"mafieux";-4,023;-0,17;21,295;7,721;-0,216;-9,535
"légitimité";-4,023;-0,17;31,079;-0,327;-0,216;-0,709
"là_dedans";-3,713;-0,157;0,805;14,008;-0,2;-3,233
"louche";-1,83;-0,17;7,258;2,069;-0,216;-1,97
"longueur";-3,404;-0,144;1,067;-1,062;-0,183;4,17
"livraison";-1,83;-0,17;-0,035;29,803;-0,216;-9,535
"lacrymogène";-4,023;-0,17;56,181;-0,327;-0,216;-3,862
"kilo";0,012;-0,157;-1,214;2,723;-0,2;-0,396
"keuf";-3,404;-0,144;17,343;0,182;-0,183;-1,019
"jérusalem";-2,475;-0,104;79,081;-2,25;-0,133;-5,868
"juillet";0,012;-0,157;-0,011;0,065;-0,2;-0,002
"iranien";-3,404;-0,144;39,091;0,182;-0,183;-4,973
"intensité";-0,49;-0,17;3,006;-1,543;-0,216;0,709
"intense";3,655;-0,17;-1,315;-1,543;-0,216;0,079
"instrument";-0,002;4,194;-0,035;-0,327;-0,216;0,079
"infraction";-4,023;-0,17;21,295;4,446;-0,216;-6,383
"implication";-4,023;-0,17;3,006;0,01;-0,216;0,709
"humanisme";-1,83;-0,17;13,354;-1,543;-0,216;0,079
"heidi";38,79;-0,157;-1,214;-3,375;-0,2;-8,802
"harrison";42,023;-0,17;-1,315;-3,657;-0,216;-9,535
"habillement";-4,023;-0,17;-1,315;-3,657;-0,216;17,729
"gérard";14,983;-0,17;-1,315;-1,543;-0,216;-1,97
"géographie";-4,023;-0,17;-1,315;-0,327;-0,216;9,534
"générosité";10,354;-0,17;-1,315;-0,327;2,964;-3,862
"grossier";-4,023;-0,17;-0,035;-1,543;-0,216;9,534
"gratuité";-3,713;-0,157;-1,214;34,05;-0,2;-5,676
"gluten";-4,023;-0,17;0,598;22,936;-0,216;-6,383
"glorifier";-3,713;-0,157;-0,011;-1,299;-0,2;8,275
"gel";1,585;-0,17;-1,315;11,895;-0,216;-9,535
"fâcher";-1,556;-0,157;0,805;-3,375;-0,2;5,255
"frustré";-4,023;4,194;-1,315;-3,657;2,964;9,534
"fringue";26,798;-0,17;-1,315;-0,327;-0,216;-9,535
"françoise";23,707;-0,157;-1,214;-3,375;-0,2;-3,233
"fraise";6,579;-0,17;-1,315;4,446;-0,216;-9,535
"fournisseur";-0,49;-0,17;-0,035;22,936;-0,216;-9,535
"fossé";-3,404;-0,144;-1,113;3,548;-0,183;0,675
"fortuné";-4,023;-0,17;-1,315;46,233;-0,216;-9,535
"fondateur";14,983;-0,17;-0,035;-0,327;-0,216;-6,383
"fautif";-4,023;-0,17;7,258;0,59;-0,216;-0,079
"fashion";-0,002;-0,17;-1,315;7,721;-0,216;-1,97
"faille";-4,023;-0,17;-0,035;4,446;-0,216;0,079
"fact";-1,556;-0,157;-1,214;2,723;-0,2;0,291
"exportation";-1,83;-0,17;-0,035;29,803;-0,216;-9,535
"expo";6,579;-0,17;-0,035;0,59;-0,216;-6,383
"entraider";-4,023;-0,17;-0,035;-1,543;-0,216;9,534
"engin";-0,49;-0,17;0,598;7,721;-0,216;-3,862
"enfantin";-3,713;-0,157;-1,214;-0,196;-0,2;8,275
"empaillé";-1,556;-0,157;-1,214;-3,375;-0,2;11,979
"empailler";0,012;-0,157;-1,214;-3,375;119,524;-0,396
"emji_visage_souriant_avec_des_cornes";-1,556;-0,157;-1,214;-1,299;40,716;1,263
"emji_visage_avec_des_valises_sous_les_yeux";-3,713;-0,157;-1,214;34,05;-0,2;-5,676
"emji_verre_de_vin";12,319;-0,157;-1,214;-1,299;-0,2;-1,473
"emji_tête_de_chat";42,023;-0,17;-1,315;-3,657;-0,216;-9,535
"emji_ogre";-0,339;-0,091;-0,708;10,004;-0,116;-2,252
"emji_note_de_musique";27,596;-0,144;-1,113;-3,094;-0,183;-4,973
"emji_main_qui_écrit";-1,556;4,685;79,08;-3,375;-0,2;-8,802
"emji_décamper";1,434;-0,091;-0,708;5,061;-0,116;-5,134
"emji_drapeau_île_clipperton";14,696;-0,144;-1,113;-0,091;-0,183;-4,973
"dévier";-3,713;-0,157;-0,011;9,274;-0,2;-0,396
"détacher";-0,49;-0,17;-1,315;4,446;-0,216;-0,079
"déployer";-0,49;-0,17;21,295;2,069;-0,216;-9,535
"délinquance";-3,713;-0,157;0,805;0,065;-0,2;1,263
"délai";-4,023;-0,17;0,598;0,59;-0,216;0,709
"dégénérer";-4,023;-0,17;7,258;-0,327;-0,216;0,709
"déforestation";-4,023;-0,17;3,006;7,721;-0,216;-1,97
"dédicace";33,984;-0,17;-1,315;-3,657;-0,216;-6,383
"décrédibiliser";-4,023;-0,17;3,006;-3,657;-0,216;6,382
"décharge";-4,023;-0,17;-0,035;16,966;-0,216;-1,97
"décevant";-3,713;-0,157;0,805;0,908;-0,2;0,291
"dé";3,655;-0,17;-0,035;-0,327;2,964;-1,97
"dr";10,354;-0,17;0,598;-3,657;-0,216;-1,97
"douchettes";-4,023;996,362;-1,315;-3,657;-0,216;-9,535
"do";-0,49;-0,17;13,354;0,59;-0,216;-3,862
"dissuader";-4,023;-0,17;0,598;0,01;-0,216;1,97
"disputer";-0,01;-0,117;0,04;2,659;-0,15;-1,488
"discréditer";-4,023;-0,17;21,295;0,59;-0,216;-1,97
"digérer";-0,322;-0,157;-1,214;-3,375;3,346;5,255
"différencier";-4,023;-0,17;-0,035;2,069;-0,216;0,709
"dicter";-4,023;-0,17;3,006;0,59;-0,216;0,079
"dernièrement";-4,023;-0,17;7,258;7,721;-0,216;-3,862
"demeure";-0,49;-0,17;-0,035;4,446;-0,216;-0,709
"côtoyer";-1,556;-0,157;-1,214;-3,375;-0,2;11,979
"ct";12,319;-0,157;-1,214;-1,299;-0,2;-1,473
"cruauté";-1,83;-0,17;13,354;-3,657;68,583;-1,97
"creux";-4,023;4,194;-1,315;0,59;-0,216;1,97
"crade";-1,83;141,3;-1,315;-0,327;-0,216;-0,079
"couvercle";-3,713;4,685;-1,214;2,723;-0,2;0,291
"couloir";-1,83;4,194;21,295;-1,543;-0,216;-0,709
"coton";-4,023;4,194;-1,315;4,446;-0,216;0,079
"contraindre";-4,023;-0,17;-0,035;29,803;-0,216;-6,383
"constitutionnel";-4,023;-0,17;88,659;-1,543;-0,216;-6,383
"connexion";-0,002;-0,17;-0,035;-0,327;-0,216;0,709
"comté";4,625;-0,157;-1,214;0,908;-0,2;-3,233
"coms";-3,713;-0,157;-0,011;-1,299;-0,2;8,275
"comble";-1,83;-0,17;13,354;0,01;-0,216;-0,709
"coiffeur";-0,002;-0,17;-1,315;7,721;-0,216;-1,97
"cnews";-4,023;-0,17;3,006;-3,657;-0,216;6,382
"claquer";-4,023;-0,17;-1,315;0,01;2,964;3,861
"certe";-1,83;-0,17;-0,035;7,721;-0,216;-0,709
"carouge";1,585;-0,17;-1,315;7,721;-0,216;-6,383
"calculette";-1,83;-0,17;-1,315;-0,327;-0,216;6,382
"bâtir";-4,023;4,194;-1,315;7,721;-0,216;-0,079
"buzz";-1,83;-0,17;-0,035;-0,327;-0,216;3,861
"broyer";-2,785;-0,117;0,04;0;-0,15;2,188
"bronzage";3,655;-0,17;-1,315;-1,543;-0,216;0,079
"brevet";-3,713;-0,157;-1,214;14,008;-0,2;-0,396
"bourvil";42,023;-0,17;-1,315;-3,657;-0,216;-9,535
"bolsonaro";-3,713;-0,157;62,303;-1,299;-0,2;-3,233
"bob";8,01;-0,157;-1,214;-1,299;-0,2;-0,396
"bilatéral";-3,404;-0,144;-1,113;30,537;-0,183;-4,973
"bidon";-1,83;-0,17;13,354;0,01;-0,216;-0,709
"bibliothèque";0,012;-0,157;-1,214;0,065;-0,2;0,291
"bennett";17,551;-0,157;-0,011;-3,375;-0,2;-3,233
"banger";42,023;-0,17;-1,315;-3,657;-0,216;-9,535
"aviation";-4,023;-0,17;7,258;16,966;-0,216;-9,535
"attachant";33,984;-0,17;-1,315;-3,657;-0,216;-6,383
"athlète";0,012;-0,157;-1,214;-0,196;3,346;0,291
"arrogant";-4,023;-0,17;-1,315;-0,327;-0,216;9,534
"arreter";-1,83;-0,17;-0,035;0,01;-0,216;1,97
"armoire";-0,49;-0,17;-1,315;-1,543;-0,216;6,382
"ancrer";-1,83;-0,17;-0,035;-3,657;-0,216;9,534
"alpha";-1,83;-0,17;-1,315;-3,657;-0,216;13,317
"albert";14,983;-0,17;-1,315;-0,327;-0,216;-3,862
"ais";-1,83;-0,17;-1,315;-3,657;-0,216;13,317
"affrontement";-4,023;-0,17;71,498;-3,657;-0,216;-1,97
"afficher";-4,023;-0,17;3,006;-1,543;-0,216;3,861
"activer";-1,556;-0,157;0,805;0,908;-0,2;-0,002
"accueillant";-1,83;-0,17;-1,315;-1,543;-0,216;9,534
"absent";-4,023;-0,17;7,258;-0,327;-0,216;0,709
"abruti";-1,556;-0,157;-0,011;-3,375;-0,2;8,275
"abattoir";-0,49;-0,17;-1,315;0,01;-0,216;1,97
"3x";-4,023;-0,17;-1,315;16,966;-0,216;-0,709
"30ans";3,655;4,194;-1,315;-1,543;-0,216;-0,079
"17h";-4,023;-0,17;-0,035;0,01;-0,216;3,861
"10h";-4,023;4,194;-1,315;4,446;-0,216;0,079
"évolué";-1,556;-0,157;-1,214;-1,299;-0,2;8,275
"éternité";-1,556;-0,157;0,805;-3,375;-0,2;5,255
"éleveur";-3,404;-0,144;-1,113;11,159;3,8;-1,019
"écrivain";0,012;-0,157;-1,214;-3,375;-0,2;5,255
"économiquement";-3,713;4,685;-1,214;14,008;-0,2;-1,473
"écologiste";-1,556;-0,157;-0,011;0,065;-0,2;1,263
"zoo";-3,713;-0,157;0,805;9,274;-0,2;-1,473
"yann";12,319;-0,157;-1,214;-3,375;-0,2;-0,396
"we";4,625;-0,157;-1,214;-1,299;-0,2;-0,002
"waw";23,707;-0,157;-1,214;-1,299;-0,2;-5,676
"vérification";-0,322;-0,157;-0,011;-0,196;-0,2;1,263
"voile";-3,713;-0,157;3,597;-3,375;-0,2;5,255
"vocation";-3,713;-0,157;-0,011;-1,299;-0,2;8,275
"violation";-3,713;-0,157;79,08;-3,375;-0,2;-3,233
"villa";-3,713;4,685;-0,011;26,396;-0,2;-8,802
"vigilant";-3,713;-0,157;-0,011;5,512;-0,2;-0,002
"vengeance";-3,404;-0,144;27,127;-3,094;3,8;-0,159
"val";27,596;-0,144;-1,113;-3,094;-0,183;-4,973
"tune";-1,556;-0,157;-1,214;14,008;-0,2;-1,473
"tsahal";-3,713;-0,157;118,627;-3,375;-0,2;-8,802
"trêve";-3,094;-0,131;98,854;-2,813;-0,166;-7,335
"trés";4,625;4,685;-1,214;-1,299;3,346;-1,473
"troupe";-0,181;-0,144;9,738;3,548;-0,183;-8,068
"trajectoire";-3,713;-0,157;-1,214;0,065;-0,2;5,255
"trait";0,626;-0,157;-0,011;-3,375;-0,2;1,263
"tournure";-1,556;-0,157;-0,011;-3,375;3,346;5,255
"tonton";0,626;-0,157;3,597;-0,196;-0,2;-1,473
"tits";-0,322;4,685;-1,214;9,274;-0,2;-3,233
"tic";0,225;-0,131;-1,012;-0,834;-0,166;1,282
"thérapie";-1,556;-0,157;-1,214;26,396;3,346;-8,802
"tf";-3,713;-0,157;62,303;-1,299;-0,2;-3,233
"terroriser";-1,556;-0,157;34,743;-1,299;-0,2;-1,473
"terro";-3,404;-0,144;69,557;-1,062;-0,183;-4,973
"temporaire";-3,094;5,97;0,008;0,378;-0,166;0,242
"techno";0,012;-0,157;-1,214;0,065;-0,2;0,291
"tech";-3,404;-0,144;-1,113;30,537;-0,183;-4,973
"tdah";-0,322;-0,157;-1,214;-3,375;-0,2;8,275
"sénégal";23,707;-0,157;-1,214;-3,375;-0,2;-3,233
"suer";0,626;-0,157;-1,214;2,723;-0,2;-1,473
"steak";-0,01;-0,117;-0,911;16,375;-0,15;-6,601
"statistiquement";-3,713;-0,157;-1,214;0,908;-0,2;2,917
"stationnement";-3,404;-0,144;-1,113;39,12;-0,183;-8,068
"sponsoriser";-1,556;-0,157;-1,214;34,05;-0,2;-8,802
"souriant";17,551;4,685;-1,214;-1,299;-0,2;-5,676
"soif";-1,556;-0,157;3,597;-1,299;-0,2;1,263
"sirène";-1,556;-0,157;-1,214;-1,299;-0,2;8,275
"siffler";-3,713;-0,157;-0,011;-1,299;-0,2;8,275
"shneck";35,557;-0,144;-1,113;-3,094;-0,183;-8,068
"sensibilisation";-3,713;-0,157;-1,214;-1,299;-0,2;11,979
"score";-1,556;-0,157;-1,214;0,908;-0,2;1,263
"saurer";-3,713;-0,157;0,805;-0,196;-0,2;2,917
"salamandre";23,707;-0,157;-1,214;-3,375;-0,2;-3,233
"saisonnier";-3,713;-0,157;-1,214;42,676;-0,2;-8,802
"saisie";-3,404;-0,144;9,738;-3,094;-0,183;2,05
"récompenser";-3,713;-0,157;-0,011;0,065;3,346;1,263
"règlement";-3,713;-0,157;8,386;5,512;-0,2;-3,233
"râleur";-0,181;-0,144;-1,113;-0,091;-0,183;2,05
"ruissellement";-3,713;4,685;-1,214;19,716;-0,2;-3,233
"rouleau";14,696;5,268;-1,113;-0,091;-0,183;-8,068
"robinet";-3,713;22,322;-1,214;-1,299;-0,2;5,255
"responsabiliser";-3,404;-0,144;-1,113;11,159;-0,183;-0,159
"reflet";-0,322;-0,157;-0,011;9,274;-0,2;-3,233
